Reading records: 973ms
KD-tree:
Element 85 of 20000, Depth 13, Axis 1: lon=-89.06, lat=13.86
Element 86 of 20000, Depth 14, Axis 0: lon=-88.74, lat=13.88
Element 87 of 20000, Depth 10, Axis 0: lon=-88.74, lat=13.53
Element 88 of 20000, Depth 13, Axis 1: lon=-86.23, lat=12.12
Element 89 of 20000, Depth 12, Axis 0: lon=-85.60, lat=12.83
Element 90 of 20000, Depth 13, Axis 1: lon=-84.47, lat=10.46
Element 91 of 20000, Depth 14, Axis 0: lon=-84.15, lat=12.08
Element 92 of 20000, Depth 11, Axis 1: lon=-88.54, lat=13.43
Element 93 of 20000, Depth 13, Axis 1: lon=-88.20, lat=13.54
Element 94 of 20000, Depth 12, Axis 0: lon=-88.10, lat=13.78
Element 95 of 20000, Depth 13, Axis 1: lon=-87.90, lat=13.53
Element 96 of 20000, Depth 14, Axis 0: lon=-84.06, lat=14.03
Element 97 of 20000, Depth 9, Axis 1: lon=-89.90, lat=14.10
Element 98 of 20000, Depth 13, Axis 1: lon=-91.83, lat=14.42
Element 99 of 20000, Depth 12, Axis 0: lon=-91.48, lat=14.38
Element 100 of 20000, Depth 13, Axis 1: lon=-90.99, lat=14.19
Element 101 of 20000, Depth 14, Axis 0: lon=-90.75, lat=14.55
Element 102 of 20000, Depth 11, Axis 1: lon=-90.93, lat=14.66
Element 103 of 20000, Depth 13, Axis 1: lon=-91.62, lat=14.74
Element 104 of 20000, Depth 12, Axis 0: lon=-91.59, lat=14.86
Element 105 of 20000, Depth 13, Axis 1: lon=-91.28, lat=14.70
Element 106 of 20000, Depth 14, Axis 0: lon=-91.17, lat=14.77
Element 107 of 20000, Depth 10, Axis 0: lon=-90.43, lat=14.59
Element 108 of 20000, Depth 13, Axis 1: lon=-90.32, lat=14.16
Element 109 of 20000, Depth 12, Axis 0: lon=-89.92, lat=14.65
Element 110 of 20000, Depth 13, Axis 1: lon=-89.57, lat=14.11
Element 111 of 20000, Depth 14, Axis 0: lon=-89.40, lat=14.69
Element 112 of 20000, Depth 11, Axis 1: lon=-86.47, lat=14.85
Element 113 of 20000, Depth 13, Axis 1: lon=-90.07, lat=14.89
Element 114 of 20000, Depth 12, Axis 0: lon=-90.06, lat=14.85
Element 115 of 20000, Depth 13, Axis 1: lon=-89.52, lat=14.97
Element 116 of 20000, Depth 14, Axis 0: lon=-89.48, lat=15.02
Element 117 of 20000, Depth 8, Axis 0: lon=-84.01, lat=10.38
Element 118 of 20000, Depth 13, Axis 1: lon=-82.60, lat=8.55
Element 119 of 20000, Depth 12, Axis 0: lon=-80.13, lat=8.45
Element 120 of 20000, Depth 13, Axis 1: lon=-75.69, lat=8.40
Element 121 of 20000, Depth 11, Axis 1: lon=-79.88, lat=8.69
Element 122 of 20000, Depth 13, Axis 1: lon=-82.12, lat=8.90
Element 123 of 20000, Depth 12, Axis 0: lon=-81.69, lat=8.74
Element 124 of 20000, Depth 13, Axis 1: lon=-79.57, lat=8.94
Element 125 of 20000, Depth 14, Axis 0: lon=-79.60, lat=9.00
Element 126 of 20000, Depth 10, Axis 0: lon=-75.67, lat=8.33
Element 127 of 20000, Depth 13, Axis 1: lon=-75.50, lat=7.00
Element 128 of 20000, Depth 12, Axis 0: lon=-73.25, lat=7.00
Element 129 of 20000, Depth 13, Axis 1: lon=-72.83, lat=5.63
Element 130 of 20000, Depth 14, Axis 0: lon=-71.00, lat=6.67
Element 131 of 20000, Depth 11, Axis 1: lon=-75.44, lat=7.15
Element 132 of 20000, Depth 13, Axis 1: lon=-73.05, lat=8.44
Element 133 of 20000, Depth 12, Axis 0: lon=-71.59, lat=8.56
Element 134 of 20000, Depth 13, Axis 1: lon=-71.57, lat=8.48
Element 135 of 20000, Depth 14, Axis 0: lon=-71.58, lat=8.49
Element 136 of 20000, Depth 9, Axis 1: lon=-74.33, lat=9.00
Element 137 of 20000, Depth 13, Axis 1: lon=-82.35, lat=9.24
Element 138 of 20000, Depth 12, Axis 0: lon=-82.16, lat=9.15
Element 139 of 20000, Depth 13, Axis 1: lon=-75.19, lat=9.21
Element 140 of 20000, Depth 14, Axis 0: lon=-82.13, lat=9.30
Element 141 of 20000, Depth 11, Axis 1: lon=-82.46, lat=9.35
Element 142 of 20000, Depth 13, Axis 1: lon=-83.82, lat=9.58
Element 143 of 20000, Depth 12, Axis 0: lon=-82.85, lat=9.62
Element 144 of 20000, Depth 13, Axis 1: lon=-82.69, lat=9.54
Element 145 of 20000, Depth 14, Axis 0: lon=-81.61, lat=12.38
Element 146 of 20000, Depth 10, Axis 0: lon=-75.00, lat=10.75
Element 147 of 20000, Depth 13, Axis 1: lon=-74.50, lat=10.00
Element 148 of 20000, Depth 12, Axis 0: lon=-73.50, lat=9.33
Element 149 of 20000, Depth 13, Axis 1: lon=-70.54, lat=9.57
Element 150 of 20000, Depth 14, Axis 0: lon=-72.22, lat=10.04
Element 151 of 20000, Depth 11, Axis 1: lon=-75.00, lat=10.68
Element 152 of 20000, Depth 13, Axis 1: lon=-75.00, lat=15.00
Element 153 of 20000, Depth 12, Axis 0: lon=-72.61, lat=11.28
Element 154 of 20000, Depth 13, Axis 1: lon=-72.59, lat=11.43
Element 155 of 20000, Depth 14, Axis 0: lon=-69.98, lat=12.54
Element 156 of 20000, Depth 6, Axis 0: lon=-69.83, lat=8.17
Element 157 of 20000, Depth 13, Axis 1: lon=-64.34, lat=-38.48
Element 158 of 20000, Depth 12, Axis 0: lon=-60.13, lat=-37.15
Element 159 of 20000, Depth 13, Axis 1: lon=-59.52, lat=-51.72
Element 160 of 20000, Depth 11, Axis 1: lon=-58.44, lat=-34.62
Element 161 of 20000, Depth 13, Axis 1: lon=-63.33, lat=-32.57
Element 162 of 20000, Depth 12, Axis 0: lon=-60.67, lat=-32.95
Element 163 of 20000, Depth 13, Axis 1: lon=-58.44, lat=-34.62
Element 164 of 20000, Depth 14, Axis 0: lon=-57.62, lat=-25.29
Element 165 of 20000, Depth 10, Axis 0: lon=-57.61, lat=-25.30
Element 166 of 20000, Depth 13, Axis 1: lon=-56.23, lat=-34.82
Element 167 of 20000, Depth 12, Axis 0: lon=-55.68, lat=-32.93
Element 168 of 20000, Depth 13, Axis 1: lon=-52.34, lat=-31.56
Element 169 of 20000, Depth 14, Axis 0: lon=-53.24, lat=-30.48
Element 170 of 20000, Depth 11, Axis 1: lon=-57.00, lat=-26.96
Element 171 of 20000, Depth 13, Axis 1: lon=-57.07, lat=-26.01
