Reading records: 247ms
Depth 11, Axis 1: lon=-91.282546, lat=14.704233
Depth 12, Axis 0: lon=-90.988215, lat=14.191496
Depth 13, Axis 1: lon=-91.829237, lat=14.419389
Depth 14, Axis 0: lon=-91.478057, lat=14.377590
Depth 13, Axis 1: lon=-90.926387, lat=14.655332
Depth 12, Axis 0: lon=-91.406102, lat=15.042500
Depth 13, Axis 1: lon=-91.593747, lat=14.859200
Depth 14, Axis 0: lon=-91.615207, lat=14.736026
Depth 13, Axis 1: lon=-91.174569, lat=14.771302
Depth 11, Axis 1: lon=-90.064891, lat=14.852206
Depth 12, Axis 0: lon=-89.395987, lat=14.689104
Depth 13, Axis 1: lon=-89.922966, lat=14.650896
Depth 14, Axis 0: lon=-90.434756, lat=14.585676
Depth 13, Axis 1: lon=-86.472666, lat=14.848625
Depth 12, Axis 0: lon=-89.518031, lat=14.966160
Depth 13, Axis 1: lon=-90.071094, lat=14.894371
Depth 13, Axis 1: lon=-89.481720, lat=15.019968
Depth 9, Axis 1: lon=-75.191540, lat=9.212189
Depth 10, Axis 0: lon=-75.666624, lat=8.334471
Depth 11, Axis 1: lon=-81.693088, lat=8.740623
Depth 12, Axis 0: lon=-79.882470, lat=8.691630
Depth 13, Axis 1: lon=-82.597232, lat=8.547935
Depth 14, Axis 0: lon=-80.127098, lat=8.452292
Depth 13, Axis 1: lon=-75.689364, lat=8.402411
Depth 12, Axis 0: lon=-79.602424, lat=8.998822
Depth 13, Axis 1: lon=-82.164608, lat=9.145541
Depth 14, Axis 0: lon=-82.117403, lat=8.897551
Depth 13, Axis 1: lon=-79.566713, lat=8.944519
Depth 11, Axis 1: lon=-73.049250, lat=8.441792
Depth 12, Axis 0: lon=-73.250009, lat=7.000008
Depth 13, Axis 1: lon=-75.444040, lat=7.153843
Depth 14, Axis 0: lon=-75.500009, lat=7.000008
Depth 13, Axis 1: lon=-71.000009, lat=6.666676
Depth 12, Axis 0: lon=-71.578100, lat=8.492220
Depth 13, Axis 1: lon=-74.333333, lat=9.000000
Depth 14, Axis 0: lon=-71.593059, lat=8.559315
Depth 13, Axis 1: lon=-71.570890, lat=8.481340
Depth 10, Axis 0: lon=-75.000000, lat=15.000000
Depth 11, Axis 1: lon=-83.823711, lat=9.577324
Depth 12, Axis 0: lon=-82.352224, lat=9.242523
Depth 13, Axis 1: lon=-82.688704, lat=9.535568
Depth 14, Axis 0: lon=-82.455939, lat=9.353822
Depth 13, Axis 1: lon=-82.128431, lat=9.304177
Depth 12, Axis 0: lon=-81.614075, lat=12.380517
Depth 13, Axis 1: lon=-84.014599, lat=10.376781
Depth 14, Axis 0: lon=-82.851333, lat=9.621991
Depth 13, Axis 1: lon=-75.000009, lat=10.750008
Depth 11, Axis 1: lon=-74.995032, lat=10.681552
Depth 12, Axis 0: lon=-72.219118, lat=10.043756
Depth 13, Axis 1: lon=-74.500009, lat=10.000008
Depth 14, Axis 0: lon=-73.500009, lat=9.333341
Depth 13, Axis 1: lon=-70.536308, lat=9.572153
Depth 12, Axis 0: lon=-72.594072, lat=11.425675
Depth 13, Axis 1: lon=-72.613577, lat=11.278011
Depth 13, Axis 1: lon=-69.980424, lat=12.543000
Depth 7, Axis 1: lon=-37.786122, lat=-8.375033
Depth 8, Axis 0: lon=-51.992371, lat=-28.190655
Depth 9, Axis 1: lon=-57.617018, lat=-25.285373
Depth 10, Axis 0: lon=-57.574784, lat=-25.286102
Depth 11, Axis 1: lon=-58.435623, lat=-34.616123
Depth 12, Axis 0: lon=-59.515303, lat=-51.715778
Depth 13, Axis 1: lon=-60.131659, lat=-37.149231
Depth 14, Axis 0: lon=-64.341818, lat=-38.483621
Depth 13, Axis 1: lon=-58.435623, lat=-34.616123
Depth 12, Axis 0: lon=-57.615960, lat=-25.286117
Depth 13, Axis 1: lon=-63.326921, lat=-32.574789
Depth 14, Axis 0: lon=-60.673340, lat=-32.952209
Depth 13, Axis 1: lon=-57.609835, lat=-25.300411
Depth 11, Axis 1: lon=-57.002938, lat=-26.957150
Depth 12, Axis 0: lon=-53.241632, lat=-30.476028
Depth 13, Axis 1: lon=-55.679799, lat=-32.933206
Depth 14, Axis 0: lon=-56.234734, lat=-34.819957
Depth 13, Axis 1: lon=-52.343823, lat=-31.561460
Depth 12, Axis 0: lon=-55.831474, lat=-26.840885
Depth 13, Axis 1: lon=-57.066824, lat=-26.010157
Depth 14, Axis 0: lon=-55.947008, lat=-26.158904
Depth 13, Axis 1: lon=-54.744540, lat=-25.371315
Depth 10, Axis 0: lon=-57.599912, lat=-25.284276
Depth 11, Axis 1: lon=-61.000657, lat=-21.000218
Depth 12, Axis 0: lon=-58.986851, lat=-23.724318
Depth 13, Axis 1: lon=-68.789793, lat=-23.497776
Depth 14, Axis 0: lon=-64.919992, lat=-24.582432
Depth 13, Axis 1: lon=-58.448737, lat=-23.447226
Depth 12, Axis 0: lon=-64.128473, lat=-16.281951
Depth 13, Axis 1: lon=-69.706826, lat=-18.363708
Depth 14, Axis 0: lon=-69.412420, lat=-20.282125
Depth 13, Axis 1: lon=-63.410819, lat=-10.832672
Depth 11, Axis 1: lon=-57.271374, lat=-22.794071
Depth 12, Axis 0: lon=-55.832234, lat=-25.086508
Depth 13, Axis 1: lon=-56.713750, lat=-24.160279
Depth 14, Axis 0: lon=-56.937824, lat=-25.249829
Depth 13, Axis 1: lon=-55.250786, lat=-24.153809
Depth 12, Axis 0: lon=-55.362760, lat=-12.693569
Depth 13, Axis 1: lon=-56.004670, lat=-15.421052
Depth 13, Axis 1: lon=-54.789056, lat=-20.621366
Depth 9, Axis 1: lon=-44.195916, lat=-19.942110
Depth 10, Axis 0: lon=-46.716499, lat=-23.681590
Depth 11, Axis 1: lon=-51.814107, lat=-24.618538
Depth 12, Axis 0: lon=-49.284333, lat=-25.495085
Depth 13, Axis 1: lon=-49.745535, lat=-27.689086
Depth 14, Axis 0: lon=-51.188788, lat=-30.100917
Depth 13, Axis 1: lon=-48.523139, lat=-27.612982
Depth 12, Axis 0: lon=-49.078062, lat=-22.632676
Depth 13, Axis 1: lon=-51.961946, lat=-23.406038
Depth 14, Axis 0: lon=-51.117901, lat=-23.476127
Depth 13, Axis 1: lon=-46.990119, lat=-22.896481
Depth 11, Axis 1: lon=-46.460179, lat=-23.391830
Depth 12, Axis 0: lon=-36.618593, lat=-54.431500
Depth 13, Axis 1: lon=-46.635052, lat=-23.569429
Depth 14, Axis 0: lon=-46.291536, lat=-23.863000
Depth 13, Axis 1: lon=-27.246867, lat=-59.454000
Depth 12, Axis 0: lon=-43.035216, lat=-22.919676
Depth 13, Axis 1: lon=-44.963120, lat=-20.114001
Depth 14, Axis 0: lon=-43.463990, lat=-22.938035
Depth 13, Axis 1: lon=-42.565475, lat=-22.222056
Depth 10, Axis 0: lon=-43.950326, lat=-19.918049
Depth 11, Axis 1: lon=-45.185213, lat=-18.577128
Depth 12, Axis 0: lon=-45.423438, lat=-19.855636
Depth 13, Axis 1: lon=-48.276784, lat=-18.918804
Depth 14, Axis 0: lon=-47.885320, lat=-19.606500
Depth 13, Axis 1: lon=-44.087321, lat=-19.890969
Depth 12, Axis 0: lon=-49.265477, lat=-16.642469
Depth 13, Axis 1: lon=-49.616067, lat=-14.298000
Depth 14, Axis 0: lon=-50.260459, lat=-15.948166
Depth 13, Axis 1: lon=-48.429434, lat=-9.317018
Depth 11, Axis 1: lon=-37.097624, lat=-10.541753
Depth 12, Axis 0: lon=-40.387747, lat=-19.677909
Depth 13, Axis 1: lon=-42.433156, lat=-13.446397
Depth 14, Axis 0: lon=-42.599382, lat=-19.445142
Depth 13, Axis 1: lon=-38.486055, lat=-12.876761
Depth 12, Axis 0: lon=-36.540908, lat=-9.734713
Depth 13, Axis 1: lon=-40.961052, lat=-9.571664
Depth 13, Axis 1: lon=-35.707879, lat=-9.544000
Depth 8, Axis 0: lon=-61.015736, lat=14.636828
